,random,clustering,representative_sampling,least_confidence,margin_of_confidence
random,100.0,14.690721649484537,15.61119293078056,14.690721649484537,14.8379970544919
clustering,14.690721649484537,100.0,17.378497790868924,14.10162002945508,14.911634756995582
representative_sampling,15.61119293078056,17.378497790868924,100.0,13.2179675994109,12.371134020618557
least_confidence,14.690721649484537,14.10162002945508,13.2179675994109,99.96318114874816,77.39322533136966
margin_of_confidence,14.8379970544919,14.911634756995582,12.371134020618557,77.39322533136966,99.92636229749633
