,random,clustering,representative_sampling,least_confidence,margin_of_confidence
random,100.0,0.0,0.5524861878453038,2.209944751381215,0.0
clustering,0.0,100.0,0.5524861878453038,1.1049723756906076,0.5524861878453038
representative_sampling,0.5524861878453038,0.5524861878453038,100.0,1.1049723756906076,0.5524861878453038
least_confidence,2.209944751381215,1.1049723756906076,1.1049723756906076,100.0,27.624309392265197
margin_of_confidence,0.0,0.5524861878453038,0.5524861878453038,27.624309392265197,100.0
