,random,clustering,representative_sampling,least_confidence,margin_of_confidence
random,100.0,4.751381215469613,4.751381215469613,5.745856353591161,4.30939226519337
clustering,4.751381215469613,100.0,2.209944751381215,5.856353591160221,5.303867403314917
representative_sampling,4.751381215469613,2.209944751381215,100.0,3.867403314917127,4.198895027624309
least_confidence,5.745856353591161,5.856353591160221,3.867403314917127,100.0,48.61878453038674
margin_of_confidence,4.30939226519337,5.303867403314917,4.198895027624309,48.61878453038674,99.88950276243094
