,random,clustering,representative_sampling,least_confidence,margin_of_confidence
random,99.94478188845942,10.270568746548868,9.442297073440088,9.7736057426836,9.552733296521259
clustering,10.270568746548868,100.0,8.337934842628382,9.66316951960243,10.546659304251795
representative_sampling,9.442297073440088,8.337934842628382,100.0,9.110988404196577,8.83489784649365
least_confidence,9.7736057426836,9.66316951960243,9.110988404196577,100.0,63.05908337934842
margin_of_confidence,9.552733296521259,10.546659304251795,8.83489784649365,63.05908337934842,99.88956377691883
