,random,clustering,representative_sampling,least_confidence,margin_of_confidence
random,100.0,20.320265046935397,19.87852015461071,20.458310325786858,20.651573716178905
clustering,20.320265046935397,100.0,26.974047487575923,19.933738266151295,19.933738266151295
representative_sampling,19.87852015461071,26.974047487575923,100.0,17.200441744892323,16.97956929872998
least_confidence,20.458310325786858,19.933738266151295,17.200441744892323,99.94478188845942,92.37990060739922
margin_of_confidence,20.651573716178905,19.933738266151295,16.97956929872998,92.37990060739922,99.94478188845942
